Neighborhood,kWh per month
Adela de Char.,"[338.6983931  279.39554546 165.88279975 122.20308946 134.58310638
 398.67959169 472.78568691 276.85464677 289.57014599 125.61301179
 474.3187181  110.78500483 124.31506925 134.39377645 260.88368091
 412.18188546 400.34409934 115.5249891  230.2502003  295.95181586
 363.47797655 427.6738563  458.57924518 321.0103839  390.96443316
 294.40737807 226.60734962 198.46701699 183.77298021 151.78618409
 139.95090966 197.51296004 353.96404326 406.34301723 293.79881657
 309.11369678]"
Adelita de Char Etp. 2,"[150.02030984 438.86314247 397.06520126 465.98252897 347.60796891
 479.77756469 438.62588576 346.99443133 188.5176608  326.7906146
 218.0858016  163.8321265  413.35012334 114.10499578 434.83089717
 486.69463819 203.64081934 188.31746414 185.38052606 294.39369362
 123.5844669  392.9219653  122.34650424 381.07359519 452.10176901
 310.32134706 419.24211081 125.80815528 414.30891056 441.00385141
 236.66585465 365.80060584 422.10642907 178.25642974 164.82939058
 204.52175333]"
Altamira.,"[152.04930829 486.09631377 253.04948062 223.99220213 207.26826401
 432.9031548  380.15049731 326.77389574 313.7059114  372.90376583
 120.75209251 475.12806151 339.58821154 208.25298812 449.5154189
 204.17831354 104.74200248 199.08552169 377.21989094 111.69523317
 306.92920333 392.35529867 118.68856369 399.10162163 335.31707899
 303.76415378 228.16173242 478.83509897 404.1663671  167.83935087
 240.96405306 355.48136736 419.17331444 408.13668084 330.42280929
 108.15728485]"
Altos de Riomar.,"[484.43292327 380.34084133 326.67462738 156.95354261 209.13243942
 210.5419195  401.12059914 327.20582477 496.58476629 315.94533492
 408.17538097 419.52735992 296.37015736 382.03427754 415.81452179
 133.60002148 485.31452948 295.95659755 238.28342908 443.28922624
 480.43960546 164.04989501 337.57230497 378.72188495 358.9632585
 325.29437932 490.08870077 149.24735419 258.4744514  217.94711823
 296.23572866 137.50679873 440.60857896 278.17829064 116.95229226
 408.02982046]"
Altos del Limón.,"[335.73314627 445.89721942 190.79311499 468.04845192 306.34124492
 267.6511069  354.52530126 385.83783761 334.21589824 497.74301137
 363.35937337 328.75337077 182.8485456  268.76194709 373.89341936
 127.52761436 401.92176515 251.59098343 262.83892859 323.97952411
 469.97714917 194.57118898 338.07959225 325.93016141 499.51889347
 307.26288807 495.76988287 242.64514443 289.01913093 275.80358626
 432.67002102 412.01080688 143.78527756 441.13002082 162.08307951
 207.32659177]"
Altos del Prado.,"[438.98716224 390.92141113 141.37601846 311.24864739 222.89300962
 312.47483029 142.66139399 223.27236346 482.21663831 494.46122212
 420.94338675 178.57233294 110.03952469 102.00618994 410.82042181
 101.10211408 142.85309398 247.71130482 193.57036899 103.43900132
 112.86570056 141.5102265  435.43994662 227.86396607 428.26498819
 202.5411302  269.58297852 440.15059762 288.40637077 309.38901253
 361.36363813 409.17897781 168.0415388  473.97316856 429.74381987
 369.47219145]"
Andalucía.,"[425.61182349 322.83553759 105.2420677  143.02464831 438.95520321
 400.11475445 112.47966151 390.71278049 403.07402591 380.1031825
 378.18748872 435.65247799 336.85314093 135.71909976 245.60123359
 457.1090547  380.10886572 326.92235497 248.13775155 298.2941973
 451.93972974 492.16668417 372.40032663 265.9602914  141.89148739
 256.99877924 209.86995272 470.83241533 382.79242872 102.59565554
 410.42713838 144.4168727  148.3917404  232.37410321 153.70437523
 297.19303889]"
Buenavista.,"[208.01348168 449.12278384 487.43271825 347.7012438  247.75027686
 415.17604758 136.06169792 186.21889479 370.02586075 130.25501435
 252.19268036 175.93812352 181.66425666 144.42757171 282.70848901
 312.62294307 219.17305007 360.49053113 190.56605088 206.24288141
 441.77022156 448.66313358 425.68585515 420.18614138 382.89848552
 345.04502408 392.5927027  247.75876528 348.31984536 486.24762689
 154.18121865 203.37408283 291.11053845 296.45402155 386.14141695
 476.0360169 ]"
El Castillo I.,"[180.69259413 396.78207793 353.28291666 246.67136379 279.67796051
 400.33949649 440.47064191 336.68499864 148.20784987 374.30747228
 303.46470724 284.50971852 166.08876983 231.02339723 140.67320752
 454.84019847 251.0859644  309.85641539 274.26146891 351.13309915
 313.42080193 201.05776453 164.65099485 323.90082473 186.85369386
 468.60491228 458.44453095 367.39812038 492.14815708 448.92641958
 272.30984919 360.91940333 282.60379533 322.29258424 354.32200919
 456.19235249]"
El Golf.,"[199.27302609 176.1779476  283.02488585 480.26915699 275.1365202
 145.75831497 124.75600428 301.73382757 230.27950523 484.46956551
 127.5753221  257.00618429 441.9248535  149.12413386 379.61838087
 361.6760008  432.11169986 349.00938802 490.81965589 335.74695306
 131.75528335 295.4322704  385.36014679 175.20257564 295.62902843
 482.02280629 157.31314369 392.55350478 218.70543245 383.32970293
 488.33583592 150.67496997 490.24552313 372.72347489 223.69604044
 354.77907542]"
El Limoncito.,"[350.64323096 378.62691691 396.22997298 406.85789702 353.28982742
 207.74291228 399.22622961 243.61260321 441.54687644 156.73674376
 451.13634677 494.65975524 395.75492694 395.19464619 456.46863896
 352.43521049 197.91039829 213.70514762 497.0851886  254.09636695
 489.11432672 355.2189827  358.37961313 413.63299147 328.75608406
 218.24424135 492.00415997 329.2573158  434.14792751 405.21663265
 227.9440889  339.2170978  489.94200003 283.74391613 464.69379082
 474.35794187]"
El Poblado.,"[276.51452642 181.28058317 111.64369905 487.20910042 371.1029685
 251.03058991 470.70687318 470.65984591 477.43480045 375.87348672
 388.41093849 222.42767054 461.47499853 152.11887196 380.55688211
 177.64084345 156.74882181 147.33201653 299.08440868 282.480388
 275.74161208 349.04843665 152.57807714 186.44142867 256.02905112
 437.38790019 443.09591837 100.38660965 175.78169279 388.0689858
 245.06259723 494.526289   251.8919317  272.31332785 191.29894433
 175.43815819]"
Eduardo Santos.,"[129.61262783 215.40658717 112.55478645 160.98363448 381.04048287
 487.79504796 439.85324433 354.74629384 100.57339743 121.75759587
 224.12644105 362.39417661 381.96885605 229.036944   177.9127323
 260.29741633 264.64914762 485.98688466 374.82651309 220.32930837
 225.83692705 212.39567654 261.64488876 209.63068596 248.75204419
 208.98578006 217.21440705 403.07574391 224.5452927  223.8258746
 101.95361093 207.60074079 245.39716934 335.47490144 290.08901594
 322.00190103]"
La Castellana.,"[388.77714333 193.89284381 362.55365215 283.8053706  294.86403248
 294.8138249  339.25072928 220.87752003 355.47733939 263.17086691
 236.32106147 243.92577523 443.66196502 266.90184634 232.21720601
 403.24573803 340.11734995 250.4473026  295.25070857 368.30010289
 444.55742773 246.30322678 417.36063615 122.30214617 418.27396327
 216.69830071 239.84971643 150.20634481 224.67174011 286.29915955
 324.49113464 405.87116048 490.54672037 305.77574976 297.35125708
 351.28937609]"
